Augsburg;Frankfurt;2--1;34;Bundesliga;2013_2014
Bayern;Stuttgart;1--0;34;Bundesliga;2013_2014
Hannover;Freiburg;3--2;34;Bundesliga;2013_2014
Hertha;Dortmund;0--4;34;Bundesliga;2013_2014
Hoffenheim;Braunschweig;3--1;34;Bundesliga;2013_2014
Leverkusen;Bremen;2--1;34;Bundesliga;2013_2014
Mainz;Hamburger SV;3--2;34;Bundesliga;2013_2014
Schalke 04;Nurnberg;4--1;34;Bundesliga;2013_2014
Wolfsburg;Monchengladbach;3--1;34;Bundesliga;2013_2014
Braunschweig;Augsburg;0--1;33;Bundesliga;2013_2014
Bremen;Hertha;2--0;33;Bundesliga;2013_2014
Dortmund;Hoffenheim;3--2;33;Bundesliga;2013_2014
Frankfurt;Leverkusen;0--2;33;Bundesliga;2013_2014
Freiburg;Schalke 04;0--2;33;Bundesliga;2013_2014
Hamburger SV;Bayern;1--4;33;Bundesliga;2013_2014
Monchengladbach;Mainz;3--1;33;Bundesliga;2013_2014
Nurnberg;Hannover;0--2;33;Bundesliga;2013_2014
Stuttgart;Wolfsburg;1--2;33;Bundesliga;2013_2014
Schalke 04;Monchengladbach;0--1;32;Bundesliga;2013_2014
Augsburg;Hamburger SV;3--1;32;Bundesliga;2013_2014
Leverkusen;Dortmund;2--2;32;Bundesliga;2013_2014
Bayern;Bremen;5--2;32;Bundesliga;2013_2014
Hertha;Braunschweig;2--0;32;Bundesliga;2013_2014
Hoffenheim;Frankfurt;0--0;32;Bundesliga;2013_2014
Mainz;Nurnberg;2--0;32;Bundesliga;2013_2014
Wolfsburg;Freiburg;2--2;32;Bundesliga;2013_2014
Hannover;Stuttgart;0--0;32;Bundesliga;2013_2014
Stuttgart;Schalke 04;3--1;31;Bundesliga;2013_2014
Nurnberg;Leverkusen;1--4;31;Bundesliga;2013_2014
Hamburger SV;Wolfsburg;1--3;31;Bundesliga;2013_2014
Augsburg;Hertha;0--0;31;Bundesliga;2013_2014
Braunschweig;Bayern;0--2;31;Bundesliga;2013_2014
Bremen;Hoffenheim;3--1;31;Bundesliga;2013_2014
Dortmund;Mainz;4--2;31;Bundesliga;2013_2014
Freiburg;Monchengladbach;4--2;31;Bundesliga;2013_2014
Frankfurt;Hannover;2--3;31;Bundesliga;2013_2014
Hoffenheim;Augsburg;2--0;30;Bundesliga;2013_2014
Leverkusen;Hertha;2--1;30;Bundesliga;2013_2014
Bayern;Dortmund;0--3;30;Bundesliga;2013_2014
Freiburg;Braunschweig;2--0;30;Bundesliga;2013_2014
Hannover;Hamburger SV;2--1;30;Bundesliga;2013_2014
Mainz;Bremen;3--0;30;Bundesliga;2013_2014
Monchengladbach;Stuttgart;1--1;30;Bundesliga;2013_2014
Wolfsburg;Nurnberg;4--1;30;Bundesliga;2013_2014
Schalke 04;Frankfurt;2--0;30;Bundesliga;2013_2014
Hertha;Hoffenheim;1--1;29;Bundesliga;2013_2014
Braunschweig;Hannover;3--0;29;Bundesliga;2013_2014
Dortmund;Wolfsburg;2--1;29;Bundesliga;2013_2014
Augsburg;Bayern;1--0;29;Bundesliga;2013_2014
Bremen;Schalke 04;1--1;29;Bundesliga;2013_2014
Frankfurt;Mainz;2--0;29;Bundesliga;2013_2014
Nurnberg;Monchengladbach;0--2;29;Bundesliga;2013_2014
Stuttgart;Freiburg;2--0;29;Bundesliga;2013_2014
Hamburger SV;Leverkusen;2--1;29;Bundesliga;2013_2014
Hannover;Bremen;1--2;28;Bundesliga;2013_2014
Monchengladbach;Hamburger SV;3--1;28;Bundesliga;2013_2014
Freiburg;Nurnberg;3--2;28;Bundesliga;2013_2014
Bayern;Hoffenheim;3--3;28;Bundesliga;2013_2014
Leverkusen;Braunschweig;1--1;28;Bundesliga;2013_2014
Mainz;Augsburg;3--0;28;Bundesliga;2013_2014
Stuttgart;Dortmund;2--3;28;Bundesliga;2013_2014
Wolfsburg;Frankfurt;2--1;28;Bundesliga;2013_2014
Schalke 04;Hertha;2--0;28;Bundesliga;2013_2014
Augsburg;Leverkusen;1--3;27;Bundesliga;2013_2014
Frankfurt;Monchengladbach;1--0;27;Bundesliga;2013_2014
Hamburger SV;Freiburg;1--1;27;Bundesliga;2013_2014
Hoffenheim;Hannover;3--1;27;Bundesliga;2013_2014
Nurnberg;Stuttgart;2--0;27;Bundesliga;2013_2014
Braunschweig;Mainz;3--1;27;Bundesliga;2013_2014
Bremen;Wolfsburg;1--3;27;Bundesliga;2013_2014
Dortmund;Schalke 04;0--0;27;Bundesliga;2013_2014
Hertha;Bayern;1--3;27;Bundesliga;2013_2014
Leverkusen;Hoffenheim;2--3;26;Bundesliga;2013_2014
Nurnberg;Frankfurt;2--5;26;Bundesliga;2013_2014
Monchengladbach;Hertha;3--0;26;Bundesliga;2013_2014
Hannover;Dortmund;0--3;26;Bundesliga;2013_2014
