Atl. Madrid;Ath. Bilbao;;38;Liga;2016_2017
Barcelone;Eibar;;38;Liga;2016_2017
Celta Vigo;Real Sociedad;;38;Liga;2016_2017
FC Seville;Osasuna;;38;Liga;2016_2017
Gijon;Betis;;38;Liga;2016_2017
Grenade;Espanyol;;38;Liga;2016_2017
La Corogne;Las Palmas;;38;Liga;2016_2017
Leganes;Alaves;;38;Liga;2016_2017
Malaga;Real Madrid;;38;Liga;2016_2017
Valence;Villarreal;;38;Liga;2016_2017
Alaves;Celta Vigo;;37;Liga;2016_2017
Ath. Bilbao;Leganes;;37;Liga;2016_2017
Betis;Atl. Madrid;;37;Liga;2016_2017
Eibar;Gijon;;37;Liga;2016_2017
Espanyol;Valence;;37;Liga;2016_2017
Las Palmas;Barcelone;;37;Liga;2016_2017
Osasuna;Grenade;;37;Liga;2016_2017
Real Madrid;FC Seville;;37;Liga;2016_2017
Real Sociedad;Malaga;;37;Liga;2016_2017
Villarreal;La Corogne;;37;Liga;2016_2017
FC Seville;Real Sociedad;;36;Liga;2016_2017
Gijon;Las Palmas;;36;Liga;2016_2017
Atl. Madrid;Eibar;;36;Liga;2016_2017
Barcelone;Villarreal;;36;Liga;2016_2017
Grenade;Real Madrid;;36;Liga;2016_2017
Alaves;Ath. Bilbao;;36;Liga;2016_2017
Valence;Osasuna;;36;Liga;2016_2017
La Corogne;Espanyol;;36;Liga;2016_2017
Malaga;Celta Vigo;;36;Liga;2016_2017
Leganes;Betis;;36;Liga;2016_2017
Villarreal;Gijon;;35;Liga;2016_2017
Real Sociedad;Grenade;;35;Liga;2016_2017
Real Madrid;Valence;;35;Liga;2016_2017
Las Palmas;Atl. Madrid;;35;Liga;2016_2017
Espanyol;Barcelone;;35;Liga;2016_2017
Osasuna;La Corogne;;35;Liga;2016_2017
Betis;Alaves;;35;Liga;2016_2017
Eibar;Leganes;;35;Liga;2016_2017
Celta Vigo;Ath. Bilbao;;35;Liga;2016_2017
Malaga;FC Seville;;35;Liga;2016_2017
La Corogne;Real Madrid;2--6;34;Liga;2016_2017
Leganes;Las Palmas;3--0;34;Liga;2016_2017
Valence;Real Sociedad;2--3;34;Liga;2016_2017
Barcelone;Osasuna;7--1;34;Liga;2016_2017
Atl. Madrid;Villarreal;0--1;34;Liga;2016_2017
Grenade;Malaga;0--2;34;Liga;2016_2017
Gijon;Espanyol;1--1;34;Liga;2016_2017
Alaves;Eibar;;34;Liga;2016_2017
FC Seville;Celta Vigo;;34;Liga;2016_2017
Ath. Bilbao;Betis;;34;Liga;2016_2017
Eibar;Ath. Bilbao;0--1;33;Liga;2016_2017
Real Madrid;Barcelone;2--3;33;Liga;2016_2017
Las Palmas;Alaves;1--1;33;Liga;2016_2017
Celta Vigo;Betis;0--1;33;Liga;2016_2017
Real Sociedad;La Corogne;1--0;33;Liga;2016_2017
Espanyol;Atl. Madrid;0--1;33;Liga;2016_2017
